Phrase	Combined Score	Phrase Quality Score	Wiki Linking Score	NP Count Score	
constant_round	2.23929961247	0.8357437924	2	1	
game_theoretic	2.2392593789	0.835713761	2	1	
ecceg_tc	1.29251783585	0.835301178	0	1	
secret_messages	2.23868247704	0.8352832055	2	1	
peer_to_peer	1.82732350798	0.8347778007	3	0	
prime_number	2.58359402848	0.834369763	3	1	
digital_image	2.58343560973	0.8342674437	3	1	
performance_improvement	2.58317218691	0.8340973184	3	1	
field_arithmetic	2.5830806205	0.8340381865	3	1	
multivariate_public_key_cryptography	2.23657237442	0.833709331	2	1	
ultra_low_power	1.82592540812	0.833500899	3	0	
random_sequence	2.58210986691	0.8334114206	3	1	
mobile_banking	1.82572254278	0.8333157008	3	0	
brute_force	1.82559330126	0.8331977254	1	1	
color_images	2.23545532651	0.8328767528	2	1	
information_reconciliation	2.23536946812	0.8328127765	2	1	
cryptographic_keys	2.5810911116	0.8327539158	3	1	
copyright_protection_scheme	2.23515856203	0.8326556329	2	1	
information_gain	2.58057978137	0.832424001	3	1	
color_visual_cryptography	2.23465639063	0.8322815307	2	1	
digital_images	2.5797755245	0.8319052196	3	1	
automates_cellulaires	1.28962563079	0.8315671338	0	1	
operating_systems	1.82360290941	0.8313818928	3	0	
vice_versa	2.5783181332	0.8309655495	3	1	
commitment_scheme	2.5775887537	0.8304954729	3	1	
chaos_theory	2.576816049	0.8299976188	3	1	
leakage_resilient_cryptography	1.28839741268	0.8299839465	0	1	
decoding_process	1.57776784576	0.8297837917	2	0	
data_encryption	2.57625775124	0.8296380001	3	1	
bound_entangled_states	1.57734351202	0.8293375183	2	0	
addition_chains	1.28772956035	0.8291237103	0	1	
hardware_accelerator	2.57543178873	0.8291061123	3	1	
resource_constrained_devices	0.910515256764	0.8290380328	0	0	
encryption_methods	2.23023314342	0.828989979	2	1	
classical_channel	2.22999768507	0.8288149459	2	1	
efficiently_computable	1.57666705851	0.8286263378	2	0	
high_quality	2.57466722044	0.828613912	3	1	
visual_information	2.22902044715	0.8280886923	2	1	
twisted_edwards	1.57615434013	0.8280875013	2	0	
quantum_key_distribution_protocol	2.22895076931	0.828036922	2	1	
chosen_plaintext	1.81990858639	0.8280168157	3	0	
pseudo_random	2.57338147083	0.8277865243	3	1	
multi_application_smart	2.22847239503	0.8276815359	2	1	
privacy_enhancing	1.57525008434	0.8271376094	2	0	
open_problems	2.57224433039	0.8270551119	3	1	
dna_steganography	2.22755160169	0.8269976897	2	1	
exponential_separation	2.22740660397	0.8268900299	2	1	
key_sizes	2.57136548752	0.8264900588	3	1	
hardware_tokens	2.22681965193	0.8264542937	2	1	
processor_architecture	1.81809670997	0.8263689117	1	1	
secret_information	2.22669390115	0.8263609549	2	1	
quantum_information_science	2.57035532641	0.825840813	3	1	
computationally_intensive	0.908670565937	0.8256821974	0	0	
real_world	1.81717280048	0.8255292467	1	1	
information_systems	2.5692502413	0.8251308503	3	1	
